doc_id,entity_type,entity_text
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kepulauan Indonesia
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Residenti Rembang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Zalt
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Xatrija
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Ban Bidara Tjina
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Tanaman
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Jawa Tambak
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Godong
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Muntok
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Selatan Vestward
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kepulauan India
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Djeltis
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Katiagan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Wokam
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Banten
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Distrik Zyi
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Bal
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Hindia Barat
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Utara Perumahan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pulau Jawa Tempat Tinggalnya
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kepala Kabupaten Zheritone
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Noesa Baroeng
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Desima
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Djembrana Untuk
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Amerika Selatan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kabupaten Serawak
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Wilayah
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Salatiga
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Djanjar
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Adura
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Karesidenan Departemen
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Boni Se
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kompeni
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pesisir Selatan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Eropa
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Negara
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Imam
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Gresik
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kasta
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kali Progo
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kali Gentung
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kediaman Mangkasar
